,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,size
0,0.07933065,0.19214213,0.14919628,0.01696955,0.026451647,0.114079036,-0.11975433,0.14303449,-0.08463776,0.13317719,-0.04183679,-0.16860758,0.0972607,-0.11460222,-0.074461244,-0.19184045,-0.14400205,0.22775874,-0.22193891,0.15056193,0.047606498,0.10685379,0.32271513,0.064943686,0.123195216,-0.013685061,0.0823182,-0.06993672,-0.07384473,0.20294078,-0.24547088,-0.1858564,0.049381733,0.049609892,0.070861146,-0.0040718243,0.2211397,-0.20366827,0.3110494,-0.24757506,-0.15354834,0.020067383,-0.01458367,0.0200666666666666
1,0.023127465,0.18904583,0.0708032,0.01565546,0.03225086,0.11435044,-0.03256191,0.08056708,-0.016372247,0.08967591,0.027569165,-0.1358583,0.032094866,-0.08951739,-0.083175525,-0.13284768,-0.07708502,0.16718848,-0.14869249,0.14796162,0.02563141,-0.026740633,0.23779345,0.064655766,0.09050938,-0.015652156,0.038062762,-0.042030063,-0.05440129,0.07808379,-0.19694613,-0.13078368,0.021910783,0.055287875,0.018677713,0.046147726,0.1666697,-0.13093057,0.24352482,-0.14569892,-0.052292384,0.081032306,0.03210335,0.1005
2,0.07292417,0.21479967,0.13509572,0.033243544,0.036941346,0.13759014,-0.108069286,0.14825404,-0.07885825,0.14714035,-0.012138477,-0.16716924,0.06071977,-0.10841556,-0.08079193,-0.18205306,-0.1266536,0.24887392,-0.21895668,0.16204177,0.04241573,0.063203335,0.31517172,0.07685625,0.13052319,-0.019617723,0.077997744,-0.04498015,-0.07094182,0.18256098,-0.23609576,-0.18109086,0.051384047,0.06457367,0.054587323,0.01016007,0.22003144,-0.20698714,0.31421757,-0.22736709,-0.113109045,0.04827291,-0.0040981174,0.1925
3,0.16244361,0.24119104,0.2589044,0.06334205,0.18995821,0.14876212,-0.108036965,0.22747985,-0.051884074,0.16981308,-0.073514074,-0.2168926,0.05313463,-0.19668858,0.007039681,-0.23609571,-0.15008269,0.34363532,-0.36178553,0.22053993,0.1839214,0.11308462,0.35564706,0.16719769,0.13864386,-0.057866156,0.13061844,-0.09196748,-0.13748623,0.35398942,-0.32085556,-0.24762103,0.16521846,0.084234186,0.05886287,0.013367053,0.21607575,-0.2643004,0.34296665,-0.27196792,-0.13812234,0.11153968,-0.07186158,0.0574210526315789
4,-0.010496503,0.16655916,0.029485889,-0.013953014,0.0004879497,0.08910109,-0.01654748,0.039885826,-0.019555518,0.07596955,0.046611644,-0.12911308,0.024773654,-0.079645514,-0.099114366,-0.098876365,-0.06932001,0.12943687,-0.10147522,0.13359493,-0.015088826,-0.034584712,0.20899104,0.05100429,0.09145881,-0.0033217175,0.036359455,-0.042519093,-0.029686758,0.0274334,-0.18365842,-0.0861629,0.0066614537,0.025549566,0.0004828386,0.051690534,0.16354942,-0.096094355,0.22637653,-0.12652579,-0.042939343,0.072362915,0.02734292,0.0526315789473684
5,0.22288792,0.24560834,0.3089841,0.08757745,0.20142318,0.16193128,-0.25519294,0.2696236,-0.11726297,0.2291331,-0.19354485,-0.21660772,0.14252052,-0.21728694,0.049849004,-0.31555995,-0.21210197,0.4546178,-0.44814026,0.2517853,0.26214063,0.24274595,0.45422536,0.17887488,0.15272821,-0.06792071,0.18833296,-0.11113331,-0.16507019,0.4908499,-0.357446,-0.2825272,0.19683996,0.08214073,0.11361017,-0.057365473,0.23074144,-0.34166765,0.38352346,-0.36603507,-0.22613782,0.07176577,-0.07417484,0.0577499999999999
6,0.22867052,0.19277671,0.28360635,0.035655577,0.21557091,0.1153015,-0.2534763,0.26010782,-0.14890222,0.21808992,-0.2687367,-0.19939217,0.16593757,-0.24155954,0.10203472,-0.32913765,-0.24669258,0.4676067,-0.42946184,0.25659415,0.26092657,0.32982087,0.47799322,0.1799295,0.17308974,-0.031051962,0.23788054,-0.16246292,-0.19754496,0.5219091,-0.37151104,-0.24430075,0.23293412,0.035023015,0.13173416,-0.11911349,0.21066701,-0.35132822,0.35721624,-0.3884691,-0.26834637,0.037007812,-0.11157009,0.0685555555555555
7,0.088574655,0.200425,0.15204595,0.036126304,0.075879805,0.12240398,-0.10319564,0.15808098,-0.06411119,0.13280429,-0.039311536,-0.16319707,0.06549305,-0.12454624,-0.045459036,-0.19938219,-0.13175121,0.24913095,-0.2325653,0.17334321,0.08057955,0.079529434,0.3144459,0.08622621,0.11782029,-0.026092714,0.08895575,-0.07323158,-0.10110708,0.21868457,-0.24567032,-0.18075672,0.073741384,0.055906743,0.06565068,-0.0032825917,0.19121578,-0.20492485,0.29508662,-0.23245887,-0.12839502,0.05605297,-0.009442475,0.0469090909090909
8,0.07465185,0.20615275,0.13161255,0.028924426,0.072099745,0.11972512,-0.088646695,0.13341242,-0.053490166,0.13142297,-0.04263994,-0.16170791,0.061095905,-0.11960538,-0.045752972,-0.18959382,-0.13142756,0.24874336,-0.2237445,0.1770149,0.074422546,0.06332787,0.30659217,0.09511192,0.117814235,-0.01990808,0.086624175,-0.053470515,-0.08603491,0.19527906,-0.23537967,-0.16307984,0.07691355,0.05505809,0.048553914,-2.7362257e-05,0.1991221,-0.19857207,0.29518598,-0.21342061,-0.10499524,0.060145773,-0.0034943856,0.0543333333333333
9,0.09212609,0.21247312,0.15089017,0.044714916,0.11941916,0.123792544,-0.076505676,0.14624654,-0.041974314,0.1263034,-0.058603615,-0.16658491,0.05346627,-0.14091273,-0.020337705,-0.20721677,-0.13920926,0.27415466,-0.25336888,0.18998052,0.101849355,0.07232246,0.31342503,0.11266965,0.11602545,-0.02150552,0.09108539,-0.059683055,-0.10068399,0.23034212,-0.25891808,-0.18091708,0.10898858,0.07000964,0.05912164,0.0049560703,0.19525161,-0.20340008,0.294268,-0.22017407,-0.10968659,0.08197642,-0.017294459,0.0515384615384615
10,0.090467036,0.20280756,0.16063333,0.023714488,0.11800359,0.11477959,-0.037235778,0.14773111,-0.019403081,0.09964695,-0.040548123,-0.16608831,0.050010484,-0.14556195,-0.018720988,-0.1924531,-0.11985728,0.22948012,-0.24204981,0.18005662,0.10070137,0.050197646,0.29730296,0.1103206,0.10657611,-0.020171978,0.077779636,-0.0812978,-0.11682898,0.20783159,-0.2597916,-0.19194263,0.09677859,0.06505199,0.04365359,0.015071594,0.17758429,-0.19411111,0.2722103,-0.19689539,-0.099943586,0.07822923,-0.020515505,0.0613636363636363
11,0.10451209,0.22040747,0.17665663,0.029875452,0.029057508,0.15338182,-0.13472205,0.17529531,-0.085050516,0.15353061,-0.011728058,-0.17635986,0.0792648,-0.13349241,-0.08247958,-0.18764164,-0.12068915,0.24963327,-0.24048536,0.1636706,0.040042073,0.098117195,0.3386041,0.080256045,0.1302524,-0.03521113,0.08243913,-0.08181666,-0.0807874,0.21709898,-0.26015502,-0.20652527,0.05142858,0.069567144,0.064509414,0.008123307,0.22558013,-0.22256726,0.34376496,-0.24956167,-0.14708604,0.041701898,-0.02042991,0.0753076923076923
12,0.036168545,0.1897617,0.08551122,0.016889319,0.057445817,0.11148088,-0.03809863,0.07933868,-0.01706561,0.08731731,-0.02826959,-0.13265747,0.054477174,-0.1118618,-0.050254155,-0.1525256,-0.095621035,0.19425118,-0.16824691,0.16240627,0.04259424,0.013184728,0.2631395,0.07841578,0.0878483,-0.0073992107,0.055484235,-0.061421666,-0.07195227,0.12278601,-0.20817699,-0.14244151,0.049740702,0.0564242,0.0448065,0.028087636,0.16827872,-0.14249139,0.25630036,-0.1645019,-0.077797376,0.079916835,0.022870574,0.0922307692307692
